Kandidátní listina.číslo;Kandidátní listina.název;Kandidát.poř. číslo;Kandidát.příjmení, jméno, tituly;Kandidát.věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
2;NAŠE PEČKY A PEČKY NEXT​;20;Nigrin Jiří Ing.​;73;NK​;BEZPP​;daňový poradce, místostarosta města 2002-2006​;Pečky​
2;NAŠE PEČKY A PEČKY NEXT​;21;Pospíšil František Ing.​;74;NK​;BEZPP​;čestný občan města, starosta města 1990-2002​;Pečky​
3;Sdružení ODS, NK​;1;Paluska Milan​;56;ODS​;ODS​;starosta města​;Pečky​
3;Sdružení ODS, NK​;2;Fejfar Zdeněk​;46;NK​;BEZPP​;místostarosta města​;Velké Chvalovice​
3;Sdružení ODS, NK​;3;Trčková Ivana​;56;NK​;BEZPP​;OSVČ​;Pečky​
3;Sdružení ODS, NK​;4;Kuprová Hana Ing.​;41;NK​;BEZPP​;projektová manažerka​;Pečky​
3;Sdružení ODS, NK​;5;Novák Miloš​;43;NK​;BEZPP​;obchodní zástupce​;Velké Chvalovice​
3;Sdružení ODS, NK​;6;Hruška Jan Ing.​;38;NK​;BEZPP​;podnikatel​;Pečky​
3;Sdružení ODS, NK​;7;Zavřel Petr Mgr. LL.M​;37;ODS​;KDU-ČSL​;ředitel Farní charity Kolín​;Pečky​
3;Sdružení ODS, NK​;8;Zedník Petr Ing.​;63;NK​;BEZPP​;OSVČ​;Pečky​
3;Sdružení ODS, NK​;9;Rumlena Michal​;58;NK​;BEZPP​;celní deklarant​;Pečky​
3;Sdružení ODS, NK​;10;Šátková Ladislava Ing.​;32;NK​;BEZPP​;geodetka​;Pečky​
3;Sdružení ODS, NK​;11;Hruška Ivan Ing. CSc.​;74;NK​;BEZPP​;důchodce​;Pečky​
3;Sdružení ODS, NK​;12;Pavlásek Milan​;61;NK​;BEZPP​;podnikatel​;Pečky​
3;Sdružení ODS, NK​;13;Holub Luboš​;44;NK​;BEZPP​;OSVČ - realitní makléř​;Pečky​
3;Sdružení ODS, NK​;14;Kupr Pavel Mgr.​;39;NK​;BEZPP​;učitel, trenér​;Pečky​
3;Sdružení ODS, NK​;15;Hrušková Tereza Mgr.​;36;NK​;BEZPP​;advokátka​;Pečky​
3;Sdružení ODS, NK​;16;Urban Milan​;77;ODS​;ODS​;důchodce​;Pečky​
3;Sdružení ODS, NK​;17;Konůpek Jan​;37;NK​;BEZPP​;rozpočtář​;Pečky​
3;Sdružení ODS, NK​;18;Křížová Věra Mgr.​;68;NK​;BEZPP​;důchodce​;Pečky​
